farm_id,crop_variety,genomic_drought_resistance,genomic_disease_resistance,avg_temperature,total_rainfall_mm,satellite_ndvi,disease_severity,yield_percentage
FARM_0025,IR-64 (Standard),0.41,0.26,33.1,412.8,0.654,0.33,81.2
FARM_0026,IR-64 (Standard),0.43,0.28,33.3,515.9,0.659,0.24,85.7
FARM_0027,Sahbhagi-Dhan (Drought Tolerant),0.88,0.61,33.9,567.6,0.692,0.39,81.9
FARM_0028,Sahbhagi-Dhan (Drought Tolerant),0.74,0.34,37.5,554.7,0.708,0.16,79.6
FARM_0029,Sahbhagi-Dhan (Drought Tolerant),0.83,0.67,34.3,8.5,0.1,0.3,36.1
FARM_0030,Swarna-Sub1 (Flood Tolerant),0.31,0.55,29.7,348.9,0.624,0.45,82.1
FARM_0031,Sahbhagi-Dhan (Drought Tolerant),0.99,0.34,25.5,643.2,0.617,0.38,71.1
FARM_0032,Swarna-Sub1 (Flood Tolerant),0.44,0.49,31.7,828.7,0.765,0.15,99.9
FARM_0033,Swarna-Sub1 (Flood Tolerant),0.24,0.44,29.2,419.3,0.698,0.37,81.3
FARM_0034,Sahbhagi-Dhan (Drought Tolerant),0.86,0.72,32.9,420.2,0.61,0.33,91.0
FARM_0035,Swarna-Sub1 (Flood Tolerant),0.35,0.22,26.5,482.2,0.539,0.46,62.5
FARM_0036,Sahbhagi-Dhan (Drought Tolerant),0.92,0.74,28.8,844.9,0.582,0.53,87.5
FARM_0037,Sahbhagi-Dhan (Drought Tolerant),0.77,0.59,30.0,510.7,0.659,0.3,91.9
FARM_0038,IR-64 (Standard),0.49,0.64,26.2,51.7,0.1,0.14,0.0
FARM_0039,Sahbhagi-Dhan (Drought Tolerant),0.95,0.2,30.2,857.5,0.621,0.55,66.1
FARM_0040,IR-64 (Standard),0.28,0.58,33.1,638.3,0.658,0.15,92.9
FARM_0041,Sahbhagi-Dhan (Drought Tolerant),0.78,0.55,37.6,241.4,0.524,0.16,69.9
FARM_0042,Sahbhagi-Dhan (Drought Tolerant),0.9,0.52,27.1,397.8,0.512,0.53,76.6
FARM_0043,IR-64 (Standard),0.38,0.67,33.6,340.9,0.62,0.28,79.0
FARM_0044,IR-64 (Standard),0.34,0.53,22.1,458.2,0.649,0.17,97.3
FARM_0045,Sahbhagi-Dhan (Drought Tolerant),0.93,0.71,30.0,797.4,0.581,0.5,97.6
FARM_0046,Swarna-Sub1 (Flood Tolerant),0.29,0.34,30.3,126.6,0.102,0.1,0.0
FARM_0047,IR-64 (Standard),0.22,0.68,33.3,431.3,0.682,0.21,95.2
FARM_0048,Swarna-Sub1 (Flood Tolerant),0.21,0.31,27.9,522.2,0.607,0.37,75.4
FARM_0049,Swarna-Sub1 (Flood Tolerant),0.3,0.69,31.0,486.1,0.68,0.26,87.0
FARM_0050,Swarna-Sub1 (Flood Tolerant),0.16,0.76,34.4,340.7,0.593,0.52,88.0
FARM_0051,IR-64 (Standard),0.24,0.4,25.5,738.0,0.732,0.16,91.5
FARM_0052,Swarna-Sub1 (Flood Tolerant),0.23,0.52,22.2,468.2,0.557,0.46,82.1
FARM_0053,IR-64 (Standard),0.33,0.59,34.3,442.6,0.727,0.18,94.9
FARM_0054,Swarna-Sub1 (Flood Tolerant),0.13,0.25,26.0,569.2,0.59,0.47,67.2
FARM_0055,Sahbhagi-Dhan (Drought Tolerant),0.78,0.5,31.8,443.9,0.786,0.09,93.4
FARM_0056,Sahbhagi-Dhan (Drought Tolerant),0.82,0.42,37.8,389.3,0.617,0.37,69.9
FARM_0057,IR-64 (Standard),0.37,0.72,33.3,314.9,0.78,0.12,100.0
FARM_0058,Sahbhagi-Dhan (Drought Tolerant),0.95,0.73,26.1,938.0,0.668,0.21,95.8
FARM_0059,Sahbhagi-Dhan (Drought Tolerant),0.89,0.62,24.2,658.6,0.571,0.46,84.4
FARM_0060,Swarna-Sub1 (Flood Tolerant),0.29,0.59,26.9,423.5,0.571,0.56,74.1
FARM_0061,IR-64 (Standard),0.48,0.64,30.7,754.3,0.615,0.25,94.2
FARM_0062,Swarna-Sub1 (Flood Tolerant),0.41,0.42,29.0,604.7,0.611,0.36,79.0
FARM_0063,Swarna-Sub1 (Flood Tolerant),0.49,0.44,35.4,507.7,0.814,0.11,89.4
FARM_0064,Swarna-Sub1 (Flood Tolerant),0.4,0.53,32.7,294.2,0.718,0.24,83.7
FARM_0065,Swarna-Sub1 (Flood Tolerant),0.17,0.76,27.1,334.4,0.718,0.16,97.0
FARM_0066,Swarna-Sub1 (Flood Tolerant),0.13,0.63,33.4,693.7,0.735,0.46,83.8
FARM_0067,Swarna-Sub1 (Flood Tolerant),0.33,0.53,36.0,650.4,0.729,0.16,94.5
FARM_0068,Swarna-Sub1 (Flood Tolerant),0.24,0.66,28.7,225.4,0.449,0.28,31.4
FARM_0069,IR-64 (Standard),0.21,0.42,31.9,418.5,0.802,0.17,92.3
FARM_0070,Sahbhagi-Dhan (Drought Tolerant),0.94,0.64,26.5,636.0,0.776,0.1,91.3
FARM_0071,Swarna-Sub1 (Flood Tolerant),0.25,0.45,29.4,722.5,0.66,0.31,77.5
FARM_0072,Swarna-Sub1 (Flood Tolerant),0.23,0.37,26.4,602.9,0.759,0.19,78.6
FARM_0073,Swarna-Sub1 (Flood Tolerant),0.44,0.57,35.0,408.7,0.734,0.24,95.0
FARM_0074,Swarna-Sub1 (Flood Tolerant),0.44,0.61,28.0,547.2,0.649,0.29,93.7
FARM_0075,Swarna-Sub1 (Flood Tolerant),0.24,0.48,31.8,457.8,0.65,0.35,68.3
FARM_0076,Swarna-Sub1 (Flood Tolerant),0.43,0.54,32.5,576.4,0.583,0.56,75.0
FARM_0077,Sahbhagi-Dhan (Drought Tolerant),0.9,0.62,42.4,795.6,0.658,0.37,46.3
FARM_0078,Sahbhagi-Dhan (Drought Tolerant),0.7,0.66,28.9,343.6,0.64,0.29,91.5
FARM_0079,Swarna-Sub1 (Flood Tolerant),0.13,0.74,26.9,556.2,0.555,0.65,83.4
FARM_0080,Sahbhagi-Dhan (Drought Tolerant),0.87,0.41,29.7,480.7,0.6,0.45,72.2
FARM_0081,IR-64 (Standard),0.31,0.77,26.6,447.4,0.684,0.35,86.7
FARM_0082,Swarna-Sub1 (Flood Tolerant),0.24,0.58,28.1,472.0,0.667,0.44,78.2
FARM_0083,IR-64 (Standard),0.5,0.67,32.9,762.7,0.654,0.26,88.1
FARM_0084,IR-64 (Standard),0.41,0.62,27.3,615.9,0.708,0.18,91.1
FARM_0085,Swarna-Sub1 (Flood Tolerant),0.4,0.32,32.2,404.2,0.764,0.11,96.4
FARM_0086,Sahbhagi-Dhan (Drought Tolerant),0.82,0.24,32.4,629.9,0.767,0.17,95.6
FARM_0087,IR-64 (Standard),0.46,0.64,31.0,388.2,0.703,0.17,89.9
FARM_0088,Swarna-Sub1 (Flood Tolerant),0.23,0.51,32.7,142.2,0.251,0.06,0.0
FARM_0089,IR-64 (Standard),0.17,0.62,28.8,39.1,0.1,0.13,0.0
FARM_0090,IR-64 (Standard),0.4,0.49,22.0,600.2,0.799,0.11,86.0
FARM_0091,IR-64 (Standard),0.25,0.39,30.2,443.1,0.7,0.22,87.4
FARM_0092,IR-64 (Standard),0.29,0.37,30.3,699.5,0.8,0.23,89.3
FARM_0093,Sahbhagi-Dhan (Drought Tolerant),0.91,0.64,28.5,577.4,0.706,0.29,92.0
FARM_0094,IR-64 (Standard),0.46,0.37,32.6,552.1,0.79,0.24,82.2
FARM_0095,IR-64 (Standard),0.27,0.63,33.1,409.8,0.671,0.46,89.5
FARM_0096,IR-64 (Standard),0.41,0.43,30.9,604.3,0.874,0.17,87.3
FARM_0097,Sahbhagi-Dhan (Drought Tolerant),0.7,0.66,30.4,810.4,0.858,0.04,96.8
FARM_0098,IR-64 (Standard),0.38,0.29,34.9,96.1,0.1,0.17,0.0
FARM_0099,IR-64 (Standard),0.1,0.32,25.7,470.0,0.725,0.29,82.8
FARM_0100,Sahbhagi-Dhan (Drought Tolerant),0.82,0.61,28.7,769.0,0.692,0.16,88.3
FARM_0101,Sahbhagi-Dhan (Drought Tolerant),0.82,0.54,34.0,270.9,0.59,0.4,70.8
FARM_0102,Sahbhagi-Dhan (Drought Tolerant),0.72,0.32,32.1,526.7,0.812,0.18,91.8
FARM_0103,IR-64 (Standard),0.12,0.74,29.1,363.3,0.691,0.17,93.6
FARM_0104,Sahbhagi-Dhan (Drought Tolerant),0.92,0.37,31.6,446.5,0.684,0.38,79.4
FARM_0105,Sahbhagi-Dhan (Drought Tolerant),0.9,0.45,27.8,145.4,0.116,0.5,51.3
FARM_0106,IR-64 (Standard),0.27,0.32,30.6,696.9,0.681,0.38,72.2
FARM_0107,Sahbhagi-Dhan (Drought Tolerant),0.87,0.43,32.8,530.1,0.708,0.08,100.0
FARM_0108,IR-64 (Standard),0.23,0.49,35.2,211.1,0.385,0.24,24.9
FARM_0109,Swarna-Sub1 (Flood Tolerant),0.39,0.38,32.6,583.7,0.676,0.35,75.5
FARM_0110,Sahbhagi-Dhan (Drought Tolerant),0.81,0.66,35.5,541.6,0.634,0.37,74.7
FARM_0111,Swarna-Sub1 (Flood Tolerant),0.13,0.44,24.2,362.2,0.735,0.04,100.0
FARM_0112,IR-64 (Standard),0.4,0.64,21.1,893.6,0.772,0.19,94.2
FARM_0113,Sahbhagi-Dhan (Drought Tolerant),0.89,0.32,21.3,603.2,0.573,0.49,68.7
FARM_0114,IR-64 (Standard),0.32,0.43,34.5,758.0,0.669,0.32,75.6
FARM_0115,Swarna-Sub1 (Flood Tolerant),0.2,0.2,32.4,467.8,0.803,0.27,77.8
FARM_0116,IR-64 (Standard),0.34,0.66,27.1,175.0,0.353,0.21,10.3
FARM_0117,Sahbhagi-Dhan (Drought Tolerant),0.96,0.58,28.5,35.3,0.1,0.13,91.1
FARM_0118,Sahbhagi-Dhan (Drought Tolerant),0.84,0.69,31.3,297.2,0.729,0.2,99.3
FARM_0119,Swarna-Sub1 (Flood Tolerant),0.22,0.47,27.1,769.6,0.756,0.15,97.6
FARM_0120,IR-64 (Standard),0.2,0.68,26.7,398.0,0.71,0.04,99.8
FARM_0121,Sahbhagi-Dhan (Drought Tolerant),0.98,0.59,27.4,708.2,0.708,0.27,84.4
FARM_0122,Swarna-Sub1 (Flood Tolerant),0.46,0.2,27.0,266.7,0.588,0.4,49.3
FARM_0123,Sahbhagi-Dhan (Drought Tolerant),0.81,0.35,30.2,367.5,0.755,0.1,87.1
FARM_0124,Sahbhagi-Dhan (Drought Tolerant),0.96,0.5,36.7,396.3,0.821,0.04,89.2
FARM_0125,IR-64 (Standard),0.47,0.57,26.0,545.0,0.645,0.45,76.3
FARM_0126,Sahbhagi-Dhan (Drought Tolerant),0.98,0.24,29.7,229.6,0.556,0.11,90.3
FARM_0127,IR-64 (Standard),0.4,0.62,31.8,341.1,0.636,0.28,89.1
FARM_0128,Sahbhagi-Dhan (Drought Tolerant),0.72,0.53,32.1,453.4,0.687,0.33,79.5
FARM_0129,Swarna-Sub1 (Flood Tolerant),0.44,0.52,28.0,231.4,0.6,0.14,57.3
FARM_0130,Sahbhagi-Dhan (Drought Tolerant),0.99,0.38,32.5,148.1,0.208,0.21,79.2
FARM_0131,IR-64 (Standard),0.4,0.56,31.7,505.7,0.658,0.32,98.9
FARM_0132,IR-64 (Standard),0.37,0.22,28.2,234.5,0.434,0.47,28.2
FARM_0133,Swarna-Sub1 (Flood Tolerant),0.4,0.24,24.6,742.9,0.761,0.21,77.7
FARM_0134,Sahbhagi-Dhan (Drought Tolerant),0.94,0.64,25.4,748.4,0.703,0.39,87.2
FARM_0135,Sahbhagi-Dhan (Drought Tolerant),0.82,0.39,33.0,383.3,0.707,0.22,86.1
FARM_0136,Swarna-Sub1 (Flood Tolerant),0.48,0.41,35.7,620.4,0.534,0.73,52.4
FARM_0137,Sahbhagi-Dhan (Drought Tolerant),0.71,0.33,30.0,513.8,0.787,0.27,79.2
FARM_0138,Sahbhagi-Dhan (Drought Tolerant),0.87,0.47,35.6,713.6,0.729,0.08,97.5
FARM_0139,IR-64 (Standard),0.34,0.23,29.8,408.3,0.615,0.29,73.8
FARM_0140,Sahbhagi-Dhan (Drought Tolerant),0.98,0.38,25.4,602.1,0.721,0.3,87.3
FARM_0141,Sahbhagi-Dhan (Drought Tolerant),0.72,0.52,29.2,562.4,0.768,0.13,100.0
FARM_0142,Swarna-Sub1 (Flood Tolerant),0.11,0.48,36.0,552.2,0.617,0.41,69.6
FARM_0143,Swarna-Sub1 (Flood Tolerant),0.12,0.8,27.6,376.8,0.705,0.16,100.0
FARM_0144,IR-64 (Standard),0.12,0.43,29.5,737.1,0.71,0.22,91.4
FARM_0145,Sahbhagi-Dhan (Drought Tolerant),0.84,0.43,34.7,418.4,0.795,0.14,82.4
FARM_0146,Sahbhagi-Dhan (Drought Tolerant),0.84,0.5,34.5,417.2,0.636,0.53,82.2
FARM_0147,Sahbhagi-Dhan (Drought Tolerant),0.91,0.31,31.2,356.0,0.771,0.1,90.7
FARM_0148,IR-64 (Standard),0.31,0.73,32.1,368.0,0.656,0.3,92.4
FARM_0149,IR-64 (Standard),0.41,0.54,34.3,452.1,0.515,0.4,88.9
FARM_0150,Swarna-Sub1 (Flood Tolerant),0.16,0.32,31.2,589.9,0.523,0.75,52.6
FARM_0151,IR-64 (Standard),0.26,0.68,35.1,656.7,0.703,0.33,87.8
FARM_0152,Sahbhagi-Dhan (Drought Tolerant),0.88,0.22,32.7,525.7,0.679,0.29,81.8
FARM_0153,Sahbhagi-Dhan (Drought Tolerant),0.95,0.79,29.4,783.3,0.8,0.29,99.6
FARM_0154,IR-64 (Standard),0.27,0.72,31.7,523.5,0.648,0.29,92.1
FARM_0155,Sahbhagi-Dhan (Drought Tolerant),0.72,0.55,28.5,140.9,0.219,0.31,38.4
FARM_0156,Sahbhagi-Dhan (Drought Tolerant),0.92,0.27,26.1,269.1,0.651,0.21,84.0
FARM_0157,IR-64 (Standard),0.15,0.33,25.4,640.0,0.639,0.38,70.4
FARM_0158,IR-64 (Standard),0.41,0.37,29.2,434.9,0.69,0.07,100.0
FARM_0159,Sahbhagi-Dhan (Drought Tolerant),0.91,0.34,31.3,421.3,0.72,0.37,71.0
FARM_0160,Sahbhagi-Dhan (Drought Tolerant),0.72,0.5,37.2,307.1,0.67,0.33,68.7
FARM_0161,Sahbhagi-Dhan (Drought Tolerant),0.77,0.77,31.7,419.9,0.695,0.49,93.6
FARM_0162,Swarna-Sub1 (Flood Tolerant),0.42,0.47,30.8,422.9,0.612,0.48,74.5
FARM_0163,Swarna-Sub1 (Flood Tolerant),0.46,0.6,29.6,598.1,0.743,0.32,89.1
FARM_0164,Swarna-Sub1 (Flood Tolerant),0.48,0.61,28.6,451.1,0.628,0.25,93.7
FARM_0165,IR-64 (Standard),0.45,0.72,30.5,755.3,0.571,0.4,85.3
FARM_0166,Swarna-Sub1 (Flood Tolerant),0.22,0.22,28.9,369.0,0.666,0.28,75.5
FARM_0167,IR-64 (Standard),0.23,0.44,28.7,540.9,0.548,0.36,87.4
FARM_0168,IR-64 (Standard),0.27,0.67,33.3,168.8,0.286,0.23,0.0
FARM_0169,Swarna-Sub1 (Flood Tolerant),0.16,0.69,26.4,631.8,0.666,0.24,90.8
FARM_0170,Swarna-Sub1 (Flood Tolerant),0.11,0.76,29.0,215.8,0.403,0.39,17.0
FARM_0171,Swarna-Sub1 (Flood Tolerant),0.45,0.62,27.2,614.0,0.669,0.08,95.9
FARM_0172,Sahbhagi-Dhan (Drought Tolerant),0.97,0.35,30.5,131.9,0.264,0.08,93.0
FARM_0173,Swarna-Sub1 (Flood Tolerant),0.34,0.5,33.4,293.3,0.724,0.14,89.3
FARM_0174,Sahbhagi-Dhan (Drought Tolerant),0.76,0.22,31.4,667.6,0.791,0.13,88.9
FARM_0175,IR-64 (Standard),0.37,0.59,29.1,812.9,0.699,0.23,85.0
FARM_0176,Sahbhagi-Dhan (Drought Tolerant),0.91,0.53,33.8,-43.3,0.1,0.21,61.5
FARM_0177,Swarna-Sub1 (Flood Tolerant),0.41,0.6,33.5,282.0,0.789,0.04,86.1
FARM_0178,IR-64 (Standard),0.15,0.76,30.2,865.9,0.742,0.24,99.1
FARM_0179,IR-64 (Standard),0.24,0.61,36.4,528.4,0.684,0.41,68.4
FARM_0180,IR-64 (Standard),0.49,0.39,31.7,293.6,0.683,0.26,78.6
FARM_0181,Sahbhagi-Dhan (Drought Tolerant),0.74,0.32,31.6,795.4,0.81,0.2,89.2
FARM_0182,Swarna-Sub1 (Flood Tolerant),0.45,0.71,25.2,617.1,0.77,0.39,88.8
FARM_0183,IR-64 (Standard),0.28,0.32,23.3,522.0,0.624,0.61,55.2
FARM_0184,IR-64 (Standard),0.44,0.3,30.3,116.6,0.1,0.25,0.0
FARM_0185,IR-64 (Standard),0.12,0.32,34.0,919.2,0.738,0.19,92.2
FARM_0186,Sahbhagi-Dhan (Drought Tolerant),0.97,0.51,31.3,552.5,0.72,0.12,90.4
FARM_0187,Sahbhagi-Dhan (Drought Tolerant),0.79,0.27,33.8,438.1,0.599,0.33,75.1
FARM_0188,Swarna-Sub1 (Flood Tolerant),0.29,0.76,28.3,792.3,0.731,0.16,91.5
FARM_0189,Sahbhagi-Dhan (Drought Tolerant),0.94,0.78,30.3,316.7,0.712,0.36,90.7
FARM_0190,IR-64 (Standard),0.24,0.78,30.1,281.3,0.681,0.09,82.9
FARM_0191,Swarna-Sub1 (Flood Tolerant),0.17,0.22,22.8,305.4,0.675,0.24,79.1
FARM_0192,IR-64 (Standard),0.3,0.77,37.2,424.0,0.749,0.09,90.7
FARM_0193,IR-64 (Standard),0.42,0.8,34.8,505.4,0.843,0.15,100.0
FARM_0194,Sahbhagi-Dhan (Drought Tolerant),0.98,0.77,33.7,628.0,0.767,0.15,100.0
FARM_0195,Swarna-Sub1 (Flood Tolerant),0.14,0.6,35.1,249.8,0.551,0.12,53.6
FARM_0196,Sahbhagi-Dhan (Drought Tolerant),0.83,0.62,28.1,560.7,0.725,0.41,76.4
FARM_0197,Sahbhagi-Dhan (Drought Tolerant),0.86,0.27,33.2,379.5,0.771,0.09,93.6
FARM_0198,Swarna-Sub1 (Flood Tolerant),0.31,0.72,28.1,478.4,0.692,0.17,99.3
FARM_0199,IR-64 (Standard),0.26,0.24,30.6,741.8,0.734,0.1,92.8
FARM_0200,IR-64 (Standard),0.35,0.39,23.0,598.6,0.734,0.06,100.0
FARM_0201,Swarna-Sub1 (Flood Tolerant),0.49,0.79,29.4,615.2,0.579,0.54,94.6
FARM_0202,IR-64 (Standard),0.14,0.45,23.9,376.8,0.695,0.26,78.9
FARM_0203,Swarna-Sub1 (Flood Tolerant),0.26,0.28,25.0,885.1,0.684,0.31,80.7
FARM_0204,Swarna-Sub1 (Flood Tolerant),0.26,0.78,29.8,634.4,0.582,0.48,91.5
FARM_0205,Sahbhagi-Dhan (Drought Tolerant),0.77,0.79,27.2,415.0,0.715,0.29,100.0
FARM_0206,Swarna-Sub1 (Flood Tolerant),0.16,0.31,31.4,728.2,0.661,0.55,59.3
FARM_0207,Sahbhagi-Dhan (Drought Tolerant),0.95,0.72,36.7,613.8,0.545,0.56,81.5
FARM_0208,IR-64 (Standard),0.21,0.43,27.5,247.4,0.46,0.57,25.8
FARM_0209,IR-64 (Standard),0.48,0.43,28.9,540.0,0.625,0.46,74.6
FARM_0210,IR-64 (Standard),0.39,0.36,32.7,306.4,0.67,0.31,80.5
FARM_0211,IR-64 (Standard),0.36,0.23,27.3,92.0,0.1,0.3,0.0
FARM_0212,Sahbhagi-Dhan (Drought Tolerant),0.75,0.36,27.1,413.5,0.77,0.14,86.7
FARM_0213,IR-64 (Standard),0.15,0.23,28.2,726.8,0.809,0.06,96.8
FARM_0214,Swarna-Sub1 (Flood Tolerant),0.44,0.75,33.5,794.9,0.65,0.29,98.7
FARM_0215,Swarna-Sub1 (Flood Tolerant),0.34,0.6,22.9,397.9,0.696,0.14,100.0
FARM_0216,Swarna-Sub1 (Flood Tolerant),0.23,0.73,26.6,442.9,0.658,0.09,92.6
FARM_0217,Sahbhagi-Dhan (Drought Tolerant),0.78,0.63,36.1,779.2,0.738,0.21,91.8
FARM_0218,IR-64 (Standard),0.42,0.28,17.6,634.1,0.564,0.48,64.3
FARM_0219,IR-64 (Standard),0.44,0.76,29.5,597.9,0.712,0.15,100.0
FARM_0220,IR-64 (Standard),0.15,0.74,36.1,527.9,0.746,0.12,87.9
FARM_0221,Sahbhagi-Dhan (Drought Tolerant),0.89,0.41,37.6,645.0,0.5,0.6,58.1
FARM_0222,Swarna-Sub1 (Flood Tolerant),0.48,0.27,33.2,494.0,0.81,0.16,86.9
FARM_0223,Swarna-Sub1 (Flood Tolerant),0.24,0.62,34.7,805.9,0.663,0.31,93.3
FARM_0224,IR-64 (Standard),0.13,0.64,26.2,476.1,0.746,0.2,92.4
FARM_0225,Swarna-Sub1 (Flood Tolerant),0.17,0.74,26.5,472.9,0.756,0.22,87.4
FARM_0226,Swarna-Sub1 (Flood Tolerant),0.5,0.23,36.9,88.9,0.1,0.34,0.0
FARM_0227,Sahbhagi-Dhan (Drought Tolerant),0.7,0.29,28.9,711.6,0.689,0.23,78.1
FARM_0228,Sahbhagi-Dhan (Drought Tolerant),0.75,0.56,22.5,307.5,0.686,0.39,81.2
FARM_0229,Sahbhagi-Dhan (Drought Tolerant),0.96,0.57,31.7,26.0,0.1,0.12,98.3
FARM_0230,Sahbhagi-Dhan (Drought Tolerant),0.83,0.22,29.2,464.2,0.724,0.23,83.7
FARM_0231,IR-64 (Standard),0.37,0.44,30.3,432.3,0.668,0.22,87.9
FARM_0232,Sahbhagi-Dhan (Drought Tolerant),0.82,0.55,20.5,590.0,0.787,0.08,90.0
FARM_0233,Swarna-Sub1 (Flood Tolerant),0.49,0.64,19.4,629.8,0.647,0.32,79.3
FARM_0234,IR-64 (Standard),0.37,0.39,31.2,334.5,0.673,0.33,75.9
FARM_0235,Swarna-Sub1 (Flood Tolerant),0.42,0.49,28.8,1044.0,0.617,0.62,65.5
FARM_0236,Swarna-Sub1 (Flood Tolerant),0.22,0.69,28.2,459.7,0.658,0.45,81.4
FARM_0237,Swarna-Sub1 (Flood Tolerant),0.13,0.77,31.6,162.4,0.127,0.45,0.0
FARM_0238,Sahbhagi-Dhan (Drought Tolerant),0.86,0.34,26.9,816.6,0.75,0.19,79.9
FARM_0239,Sahbhagi-Dhan (Drought Tolerant),1.0,0.35,28.9,645.7,0.789,0.08,93.0
FARM_0240,IR-64 (Standard),0.18,0.76,28.2,581.8,0.842,0.04,89.8
FARM_0241,IR-64 (Standard),0.48,0.44,33.5,412.9,0.69,0.29,84.5
FARM_0242,Sahbhagi-Dhan (Drought Tolerant),0.71,0.63,22.5,509.2,0.771,0.08,91.9
FARM_0243,Swarna-Sub1 (Flood Tolerant),0.17,0.57,27.4,66.3,0.1,0.16,0.0
FARM_0244,IR-64 (Standard),0.18,0.37,34.4,445.8,0.634,0.52,69.3
FARM_0245,Sahbhagi-Dhan (Drought Tolerant),0.93,0.59,26.7,991.4,0.921,0.12,89.6
FARM_0246,Sahbhagi-Dhan (Drought Tolerant),0.98,0.59,30.5,309.1,0.753,0.31,81.2
FARM_0247,Sahbhagi-Dhan (Drought Tolerant),0.7,0.56,36.7,535.4,0.755,0.12,87.7
FARM_0248,Swarna-Sub1 (Flood Tolerant),0.23,0.26,30.6,163.0,0.293,0.12,0.0
FARM_0249,Sahbhagi-Dhan (Drought Tolerant),0.84,0.8,38.6,395.9,0.578,0.46,69.2
FARM_0250,Sahbhagi-Dhan (Drought Tolerant),0.9,0.44,35.6,247.0,0.485,0.16,79.9
FARM_0251,Sahbhagi-Dhan (Drought Tolerant),0.87,0.58,27.4,585.5,0.748,0.14,99.9
FARM_0252,Sahbhagi-Dhan (Drought Tolerant),0.91,0.73,24.9,543.2,0.561,0.33,99.6
FARM_0253,IR-64 (Standard),0.23,0.45,27.6,239.4,0.653,0.11,42.1
FARM_0254,IR-64 (Standard),0.14,0.66,31.5,517.7,0.726,0.09,91.8
FARM_0255,Sahbhagi-Dhan (Drought Tolerant),0.94,0.78,31.4,524.8,0.834,0.08,90.8
FARM_0256,Swarna-Sub1 (Flood Tolerant),0.42,0.42,32.7,535.0,0.596,0.5,73.9
FARM_0257,IR-64 (Standard),0.16,0.44,26.3,670.8,0.682,0.37,82.6
FARM_0258,Sahbhagi-Dhan (Drought Tolerant),0.82,0.74,26.9,813.0,0.731,0.01,100.0
FARM_0259,IR-64 (Standard),0.42,0.3,32.2,377.2,0.632,0.49,75.6
FARM_0260,IR-64 (Standard),0.32,0.22,38.0,438.7,0.741,0.17,71.7
FARM_0261,Swarna-Sub1 (Flood Tolerant),0.22,0.75,25.6,465.3,0.679,0.55,79.4
FARM_0262,Sahbhagi-Dhan (Drought Tolerant),0.95,0.69,29.7,239.6,0.508,0.07,99.4
FARM_0263,Sahbhagi-Dhan (Drought Tolerant),0.85,0.78,28.6,298.4,0.6,0.32,88.1
